id,latitude,longitude,start_datetime,duration_minutes,priority,requires_road_closure,police_station,event_type,event_cause,zone,corridor,veh_type,hour_of_day,day_of_week,is_weekend,month,time_window,is_peak_hour,is_corridor_road,corridor_event_share,cause_historical_high_rate,target_priority,target_road_closure
FKID000000,13.0400041,77.5180991,2024-03-07 17:01:48.111000+00:00,,High,False,Peenya,unplanned,vehicle_breakdown,Unknown,Tumkur Road,lcv,22,3,0,3,night,0,1,0.05684497952091349,0.6623004502660663,1,0
FKID000001,12.9218755,77.6451585,2024-01-30 04:07:24.173000+00:00,10.37758925,High,False,HSR Layout,unplanned,vehicle_breakdown,Unknown,ORR East 1,heavy_vehicle,9,1,0,1,morning_peak,1,1,0.03003599354598486,0.6623004502660663,1,0
FKID000002,12.955622,77.5857083,2023-11-11 06:18:03.343000+00:00,,Low,False,Wilson Garden,unplanned,others,Central Zone 2,Non-corridor,not_applicable,11,5,1,11,morning_peak,1,0,0.38029043068139506,0.5959119496855346,0,0
FKID000003,13.0061469,77.5794348,2024-03-07 17:56:55.061000+00:00,,Low,True,Sadashivanagar,unplanned,tree_fall,Unknown,Non-corridor,not_applicable,23,3,0,3,night,0,0,0.38029043068139506,0.3274647887323944,0,1
FKID000004,12.95398,77.5852333,2024-01-30 04:56:32.348000+00:00,38.74983805,Low,False,Wilson Garden,unplanned,vehicle_breakdown,Unknown,Non-corridor,private_bus,10,1,0,1,morning_peak,1,0,0.38029043068139506,0.6623004502660663,0,0
FKID000005,13.0664854,77.5998755,2023-11-28 03:07:27.292421+00:00,,Low,False,Hebbala,unplanned,accident,North Zone 1,Non-corridor,not_applicable,8,1,0,11,morning_peak,1,0,0.38029043068139506,0.4602739726027397,0,0
FKID000006,12.9328703,77.4879814,2024-01-30 07:26:26.739000+00:00,,Low,False,Kengeri,unplanned,vehicle_breakdown,Unknown,Non-corridor,bmtc_bus,12,1,0,1,off_peak,0,0,0.38029043068139506,0.6623004502660663,0,0
FKID000007,12.973175,77.6003961,2024-01-30 06:05:59.339000+00:00,,Low,False,Cubbon Park,unplanned,others,Unknown,Non-corridor,not_applicable,11,1,0,1,morning_peak,1,0,0.38029043068139506,0.5959119496855346,0,0
FKID000009,13.0373543,77.6540442,2024-01-30 05:25:50.078000+00:00,,Low,False,Hennuru,unplanned,vehicle_breakdown,Unknown,Non-corridor,lcv,10,1,0,1,morning_peak,1,0,0.38029043068139506,0.6623004502660663,0,0
FKID000010,13.0008457,77.6813712,2024-03-07 18:01:40.182000+00:00,,High,False,K.R. Pura,unplanned,water_logging,Unknown,ORR East 2,not_applicable,23,3,0,3,night,0,1,0.022713168673203426,0.5917030567685589,1,0
